BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.488333, -0.339726, -0.497206, 0.631584), Translationsvektor: ( 0.0768895, 0.101072, 1.625).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
00:30:40.355	25	9.53644	(318, 226)	(32, 23)	16
00:30:40.382	25	9.66889	(325, 225)	(33, 23)	16
00:30:40.410	28	10.2225	(335, 225)	(34, 23)	16
00:30:40.445	29	10.4973	(345, 225)	(35, 23)	16
00:30:40.481	31	10.7979	(357, 225)	(36, 23)	16
00:30:40.515	34	11.3157	(372, 225)	(37, 23)	16
00:30:40.557	26	11.4876	(375, 225)	(38, 23)	16
00:30:40.584	26	11.8175	(385, 225)	(39, 23)	16
00:30:40.612	26	12.2597	(395, 225)	(40, 23)	16
00:30:40.640	26	12.6652	(405, 225)	(41, 23)	16
00:30:40.668	26	13.049	(415, 225)	(42, 23)	16
00:30:40.695	27	13.6289	(425, 225)	(43, 23)	16
00:30:40.723	28	13.9754	(435, 226)	(44, 23)	16
00:30:40.758	28	14.3071	(445, 226)	(45, 23)	16
00:30:40.793	28	14.5957	(455, 226)	(46, 23)	16
00:30:40.827	29	15.1993	(465, 227)	(47, 23)	16
00:30:40.862	36	15.437	(475, 227)	(48, 23)	16
00:30:40.906	38	15.815	(485, 228)	(49, 23)	16
00:30:40.947	37	16.0113	(495, 228)	(50, 23)	16
00:30:40.989	32	16.4406	(505, 229)	(51, 23)	16
00:30:41.029	34	16.8644	(515, 229)	(52, 23)	16
00:30:41.071	35	17.1735	(525, 229)	(53, 23)	16
00:30:41.114	35	17.3415	(535, 229)	(54, 23)	16
00:30:41.157	38	17.7422	(545, 229)	(55, 23)	16
00:30:41.204	33	17.9567	(555, 229)	(56, 23)	16
00:30:41.245	37	18.2157	(565, 229)	(57, 23)	16
00:30:41.287	38	19.0471	(575, 229)	(58, 23)	16
00:30:41.329	38	18.7261	(585, 229)	(59, 23)	16
00:30:41.370	36	19.0153	(596, 229)	(60, 23)	16
00:30:41.412	34	19.3347	(605, 230)	(61, 23)	16
00:30:41.453	35	19.5399	(615, 230)	(62, 23)	16
00:30:41.495	41	19.7593	(626, 230)	(63, 23)	16
00:30:41.545	39	19.9079	(635, 230)	(64, 23)	16
00:30:41.593	37	20.1677	(645, 230)	(65, 23)	16
00:30:41.635	35	20.3458	(655, 230)	(66, 23)	16
00:30:41.676	34	20.5274	(665, 230)	(67, 23)	16
00:30:41.717	40	20.856	(680, 230)	(68, 23)	16
00:30:41.760	41	20.8105	(685, 230)	(69, 23)	16
00:30:41.809	37	20.9523	(695, 230)	(70, 23)	16
00:30:41.851	35	21.1997	(705, 230)	(71, 23)	16
00:30:41.891	35	21.3259	(715, 230)	(72, 23)	16
00:30:41.934	42	21.4708	(725, 230)	(73, 23)	16
00:30:41.982	45	21.5305	(735, 230)	(74, 23)	16
00:30:42.031	41	21.6671	(749, 230)	(75, 23)	16
00:30:42.079	38	21.8107	(756, 230)	(76, 23)	16
00:30:42.121	43	21.8643	(766, 230)	(77, 23)	16
00:30:42.170	44	21.8781	(775, 230)	(78, 23)	16
00:30:42.219	42	21.9846	(785, 230)	(79, 23)	16
00:30:42.267	38	22.1603	(796, 229)	(80, 23)	16
00:30:42.308	38	22.157	(805, 229)	(81, 23)	16
00:30:42.350	42	22.2493	(815, 229)	(82, 23)	16
00:30:42.400	53	22.2689	(825, 228)	(83, 23)	16
00:30:42.464	43	22.2458	(835, 228)	(84, 23)	16
00:30:42.511	41	22.2561	(845, 228)	(85, 23)	16
00:30:42.559	38	22.3339	(855, 228)	(86, 23)	16
00:30:42.600	44	22.4273	(865, 228)	(87, 23)	16
00:30:42.651	41	22.3981	(875, 228)	(88, 23)	16
00:30:42.698	41	22.5154	(885, 228)	(89, 23)	16
00:30:42.747	45	22.4341	(895, 228)	(90, 23)	16
00:30:42.796	47	22.4047	(905, 228)	(91, 23)	16
00:30:42.856	42	22.4532	(915, 228)	(92, 23)	16
00:30:42.907	39	22.444	(925, 228)	(93, 23)	16
00:30:42.948	39	22.4496	(935, 228)	(94, 23)	16
00:30:42.990	39	22.4166	(945, 227)	(95, 23)	16
00:30:43.032	39	22.4098	(957, 227)	(96, 23)	16
00:30:43.074	38	22.3759	(966, 227)	(97, 23)	16
00:30:43.115	36	22.4329	(975, 227)	(98, 23)	16
00:30:43.156	42	22.4058	(985, 227)	(99, 23)	16
00:30:43.207	40	22.3031	(995, 227)	(100, 23)	16
00:30:43.254	39	22.253	(1005, 227)	(101, 23)	16
00:30:43.295	38	22.2796	(1015, 226)	(102, 23)	16
00:30:43.337	39	22.2923	(1025, 226)	(103, 23)	16
00:30:43.381	43	22.2507	(1035, 226)	(104, 23)	16
00:30:43.429	43	22.1098	(1045, 225)	(105, 23)	16
00:30:43.477	39	22.1219	(1055, 225)	(106, 23)	16
00:30:43.518	36	22.0809	(1065, 225)	(107, 23)	16
00:30:43.559	38	22.0207	(1071, 224)	(107, 22)	16
00:30:43.602	36	21.9843	(1075, 224)	(108, 22)	16
00:30:43.647	46	21.9253	(1085, 224)	(109, 22)	16
00:30:43.701	37	21.843	(1095, 224)	(110, 22)	16
00:30:43.740	38	21.8499	(1105, 224)	(111, 22)	16
00:30:43.783	37	21.836	(1115, 224)	(112, 22)	16
00:30:43.824	45	21.7396	(1125, 224)	(113, 22)	16
00:30:43.875	44	21.7022	(1135, 224)	(114, 22)	16
00:30:43.928	39	21.6819	(1146, 223)	(115, 22)	16
00:30:43.970	40	21.569	(1155, 223)	(116, 22)	16
00:30:44.019	40	21.5061	(1165, 223)	(117, 22)	16
00:30:44.067	41	21.5721	(1175, 223)	(118, 22)	16
00:30:44.116	37	21.5004	(1185, 223)	(119, 22)	16
00:30:44.157	39	21.4502	(1195, 223)	(120, 22)	16
00:30:44.199	42	21.293	(1205, 223)	(121, 22)	16
00:30:44.249	40	21.2169	(1215, 223)	(122, 22)	16
00:30:44.298	40	21.1716	(1225, 223)	(123, 22)	16
00:30:44.345	36	21.0369	(1235, 223)	(124, 22)	16
00:30:44.387	40	20.9561	(1245, 223)	(125, 22)	16
00:30:44.436	42	20.8507	(1255, 223)	(126, 22)	16
00:30:44.485	41	20.7698	(1265, 224)	(127, 22)	16
00:30:44.533	37	20.7548	(1275, 224)	(128, 22)	16
00:30:44.574	34	20.8039	(1282, 225)	(128, 23)	16
00:30:44.616	39	20.7733	(1285, 225)	(129, 23)	16
00:30:44.658	53	20.7203	(1295, 226)	(130, 23)	16
00:30:44.714	40	20.5708	(1305, 226)	(131, 23)	16
00:30:44.763	34	20.6354	(1316, 228)	(132, 23)	16
00:30:44.804	38	20.4516	(1326, 228)	(133, 23)	16
00:30:44.846	40	20.3704	(1335, 228)	(134, 23)	16
00:30:44.888	44	20.2689	(1345, 229)	(135, 23)	16
00:30:44.936	41	20.2566	(1355, 230)	(136, 23)	16
00:30:44.986	40	20.2024	(1366, 230)	(137, 23)	16
00:30:45.034	40	20.1751	(1375, 230)	(138, 23)	16
00:30:45.083	41	20.2089	(1386, 231)	(139, 23)	16
00:30:45.131	41	20.1145	(1395, 231)	(140, 23)	16
00:30:45.179	39	20.1622	(1405, 232)	(141, 23)	16
00:30:45.223	41	19.9892	(1415, 232)	(142, 23)	16
00:30:45.272	39	19.88	(1425, 232)	(143, 23)	16
00:30:45.322	40	19.8332	(1435, 233)	(144, 23)	16
00:30:45.368	36	19.6841	(1445, 234)	(145, 23)	16
00:30:45.409	37	19.609	(1455, 234)	(146, 23)	16
00:30:45.451	40	19.4831	(1465, 234)	(147, 23)	16
00:30:45.501	45	19.2307	(1478, 234)	(148, 23)	16
00:30:45.556	37	19.0865	(1485, 234)	(149, 23)	16
00:30:45.597	35	19.0852	(1488, 235)	(149, 24)	16
00:30:45.639	34	19.0095	(1495, 235)	(150, 24)	16
00:30:45.680	34	18.8079	(1506, 235)	(151, 24)	16
00:30:45.721	35	18.5957	(1516, 235)	(152, 24)	16
00:30:45.764	35	18.4963	(1526, 236)	(153, 24)	16
00:30:45.807	40	18.259	(1535, 236)	(154, 24)	16
00:30:45.856	45	18.0499	(1546, 236)	(155, 24)	16
00:30:45.913	44	17.9351	(1556, 237)	(156, 24)	16
00:30:45.966	42	17.701	(1565, 237)	(157, 24)	16
00:30:46.014	32	17.6467	(1575, 238)	(158, 24)	16
00:30:46.048	31	17.4649	(1585, 238)	(159, 24)	16
00:30:46.083	32	17.2532	(1595, 239)	(160, 24)	16
00:30:46.118	30	17.0877	(1605, 239)	(161, 24)	16
00:30:46.152	32	16.9499	(1615, 240)	(162, 24)	16
00:30:46.188	31	16.7156	(1625, 240)	(163, 24)	16
00:30:46.223	31	16.4941	(1636, 241)	(164, 24)	16
00:30:46.257	30	16.292	(1645, 242)	(165, 24)	16
00:30:46.291	35	16.1286	(1655, 242)	(166, 24)	16
00:30:46.336	36	15.8748	(1666, 243)	(167, 24)	16
00:30:46.376	33	15.7719	(1676, 244)	(168, 24)	16
00:30:46.417	32	15.8012	(1677, 245)	(168, 25)	16
00:30:46.452	31	15.6458	(1686, 245)	(169, 25)	16
00:30:46.487	30	15.4241	(1696, 246)	(170, 25)	16
00:30:46.522	30	15.3479	(1705, 246)	(171, 25)	16
00:30:46.556	30	15.1679	(1715, 248)	(172, 25)	16
00:30:46.590	30	14.9139	(1726, 249)	(173, 25)	16
00:30:46.625	30	14.7173	(1735, 250)	(174, 25)	16
00:30:46.660	29	14.5262	(1745, 251)	(175, 25)	16
00:30:46.695	32	14.4018	(1755, 253)	(176, 25)	16
00:30:46.730	33	14.1976	(1765, 254)	(177, 25)	16
00:30:46.765	33	14.1467	(1768, 255)	(177, 26)	16
00:30:46.807	30	14.0323	(1775, 256)	(178, 26)	16
00:30:46.840	29	13.7723	(1785, 258)	(179, 26)	16
