BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 2
is mouse replay: 1
Camera settings: Roation Quaternion: ( -0.166211, 0.78287, 0.580329, 0.150691), Translationsvektor: ( 0, 0, 2.075).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:10:02.598	27	17.6047	(318, 226)	(32, 23)	49
18:10:02.631	27	17.625	(325, 225)	(33, 23)	49
18:10:02.666	31	17.6399	(335, 225)	(34, 23)	49
18:10:02.702	34	17.6831	(345, 225)	(35, 23)	49
18:10:02.743	32	17.6557	(357, 225)	(36, 23)	49
18:10:02.777	28	17.6895	(372, 225)	(37, 23)	49
18:10:02.812	26	17.6961	(375, 225)	(38, 23)	49
18:10:02.839	31	17.7499	(385, 225)	(39, 23)	49
18:10:02.876	30	17.9089	(395, 225)	(40, 23)	49
18:10:02.911	31	17.8083	(405, 225)	(41, 23)	49
18:10:02.945	32	17.9841	(415, 225)	(42, 23)	49
18:10:02.980	29	18.1639	(425, 225)	(43, 23)	49
18:10:03.014	27	18.2276	(435, 226)	(44, 23)	49
18:10:03.048	30	18.1942	(445, 226)	(45, 23)	49
18:10:03.084	30	18.2145	(455, 226)	(46, 23)	49
18:10:03.118	33	18.5486	(465, 227)	(47, 23)	49
18:10:03.153	32	18.5067	(475, 227)	(48, 23)	49
18:10:03.188	30	18.5953	(485, 228)	(49, 23)	49
18:10:03.222	32	18.6281	(495, 228)	(50, 23)	49
18:10:03.258	34	19.1181	(505, 229)	(51, 23)	49
18:10:03.299	33	19.035	(515, 229)	(52, 23)	49
18:10:03.341	34	19.1326	(525, 229)	(53, 23)	49
18:10:03.384	34	19.1407	(535, 229)	(54, 23)	49
18:10:03.424	30	19.1161	(545, 229)	(55, 23)	49
18:10:03.459	38	19.0104	(555, 229)	(56, 23)	49
18:10:03.500	34	19.2056	(565, 229)	(57, 23)	49
18:10:03.537	33	19.2904	(575, 229)	(58, 23)	49
18:10:03.578	34	19.3664	(585, 229)	(59, 23)	49
18:10:03.620	34	19.6852	(596, 229)	(60, 23)	49
18:10:03.661	36	20.1585	(605, 230)	(61, 23)	49
18:10:03.702	37	20.2631	(615, 230)	(62, 23)	49
18:10:03.745	35	20.2704	(626, 230)	(63, 23)	49
18:10:03.786	35	20.7047	(635, 230)	(64, 23)	49
18:10:03.828	32	20.6215	(645, 230)	(65, 23)	49
18:10:03.869	31	20.6825	(655, 230)	(66, 23)	49
18:10:03.905	38	20.8387	(665, 230)	(67, 23)	49
18:10:03.953	38	21.1993	(680, 230)	(68, 23)	49
18:10:03.995	37	21.447	(685, 230)	(69, 23)	49
18:10:04.037	33	21.451	(695, 230)	(70, 23)	49
18:10:04.077	37	21.5736	(705, 230)	(71, 23)	49
18:10:04.119	34	21.9502	(715, 230)	(72, 23)	49
18:10:04.162	35	21.9938	(725, 230)	(73, 23)	49
18:10:04.203	36	22.0994	(735, 230)	(74, 23)	49
18:10:04.246	35	22.3751	(749, 230)	(75, 23)	49
18:10:04.286	32	22.5582	(756, 230)	(76, 23)	49
18:10:04.321	33	22.587	(766, 230)	(77, 23)	49
18:10:04.364	39	22.9249	(775, 230)	(78, 23)	49
18:10:04.413	38	22.9013	(785, 230)	(79, 23)	49
18:10:04.453	36	22.9764	(796, 229)	(80, 23)	49
18:10:04.495	35	23.3246	(805, 229)	(81, 23)	49
18:10:04.537	39	23.4218	(815, 229)	(82, 23)	49
18:10:04.587	39	23.3751	(825, 228)	(83, 23)	49
18:10:04.635	39	23.5102	(835, 228)	(84, 23)	49
18:10:04.684	41	24.7179	(845, 228)	(85, 23)	49
18:10:04.732	41	24.4784	(855, 228)	(86, 23)	49
18:10:04.781	41	25.0889	(865, 228)	(87, 23)	49
18:10:04.829	41	25.0606	(875, 228)	(88, 23)	49
18:10:04.878	40	25.1979	(885, 228)	(89, 23)	49
18:10:04.926	41	25.289	(895, 228)	(90, 23)	49
18:10:04.977	45	25.5092	(905, 228)	(91, 23)	49
18:10:05.032	45	25.577	(915, 228)	(92, 23)	49
18:10:05.087	42	25.8594	(925, 228)	(93, 23)	49
18:10:05.134	40	25.925	(935, 228)	(94, 23)	49
18:10:05.183	40	25.9876	(945, 227)	(95, 23)	49
18:10:05.232	41	27.0747	(957, 227)	(96, 23)	49
18:10:05.280	41	26.9436	(966, 227)	(97, 23)	49
18:10:05.330	40	26.8582	(975, 227)	(98, 23)	49
18:10:05.379	41	27.0135	(985, 227)	(99, 23)	49
18:10:05.427	41	26.9585	(995, 227)	(100, 23)	49
18:10:05.477	41	27.3267	(1005, 227)	(101, 23)	49
18:10:05.524	39	27.3834	(1015, 226)	(102, 23)	49
18:10:05.566	36	27.1286	(1025, 226)	(103, 23)	49
18:10:05.607	40	27.5641	(1035, 226)	(104, 23)	49
18:10:05.657	42	27.1139	(1045, 225)	(105, 23)	49
18:10:05.709	40	26.8987	(1055, 225)	(106, 23)	49
18:10:05.753	38	26.8781	(1065, 225)	(107, 23)	49
18:10:05.794	38	26.6723	(1071, 224)	(107, 22)	49
18:10:05.837	38	27.0483	(1075, 224)	(108, 22)	49
18:10:05.878	40	26.867	(1085, 224)	(109, 22)	49
18:10:05.928	39	26.9416	(1095, 224)	(110, 22)	49
18:10:05.976	39	26.4444	(1105, 224)	(111, 22)	49
18:10:06.017	40	26.4733	(1115, 224)	(112, 22)	49
18:10:06.066	39	26.7228	(1125, 224)	(113, 22)	49
18:10:06.108	38	26.113	(1135, 224)	(114, 22)	49
18:10:06.149	39	26.1828	(1146, 223)	(115, 22)	49
18:10:06.191	41	26.0157	(1155, 223)	(116, 22)	49
18:10:06.241	44	25.8742	(1165, 223)	(117, 22)	49
18:10:06.290	44	25.7784	(1175, 223)	(118, 22)	49
18:10:06.345	41	25.827	(1185, 223)	(119, 22)	49
18:10:06.392	40	26.1566	(1195, 223)	(120, 22)	49
18:10:06.435	39	25.7538	(1205, 223)	(121, 22)	49
18:10:06.483	40	25.4603	(1215, 223)	(122, 22)	49
18:10:06.532	40	25.4321	(1225, 223)	(123, 22)	49
18:10:06.581	39	25.3033	(1235, 223)	(124, 22)	49
18:10:06.622	39	25.2976	(1245, 223)	(125, 22)	49
18:10:06.678	39	24.9554	(1255, 223)	(126, 22)	49
18:10:06.727	37	24.9747	(1265, 224)	(127, 22)	49
18:10:06.768	36	24.7951	(1275, 224)	(128, 22)	49
18:10:06.809	36	24.957	(1282, 225)	(128, 23)	49
18:10:06.852	39	24.8049	(1285, 225)	(129, 23)	49
18:10:06.902	43	24.8018	(1295, 226)	(130, 23)	49
18:10:06.950	44	24.2121	(1305, 226)	(131, 23)	49
18:10:06.998	34	23.5513	(1316, 228)	(132, 23)	49
18:10:07.039	32	23.3455	(1326, 228)	(133, 23)	49
18:10:07.073	32	23.0729	(1335, 228)	(134, 23)	49
18:10:07.108	36	22.5259	(1345, 229)	(135, 23)	49
18:10:07.151	39	22.7637	(1355, 230)	(136, 23)	49
18:10:07.201	33	22.1927	(1366, 230)	(137, 23)	49
18:10:07.240	31	21.9699	(1375, 230)	(138, 23)	49
18:10:07.275	31	21.9689	(1386, 231)	(139, 23)	49
18:10:07.310	31	21.7578	(1395, 231)	(140, 23)	49
18:10:07.344	36	21.8239	(1405, 232)	(141, 23)	49
18:10:07.388	38	21.8185	(1415, 232)	(142, 23)	49
18:10:07.436	35	21.425	(1425, 232)	(143, 23)	49
18:10:07.477	33	20.9628	(1435, 233)	(144, 23)	49
18:10:07.519	32	20.6416	(1445, 234)	(145, 23)	49
18:10:07.553	32	20.5616	(1455, 234)	(146, 23)	49
18:10:07.588	35	20.3944	(1465, 234)	(147, 23)	49
18:10:07.630	32	20.1785	(1478, 234)	(148, 23)	49
18:10:07.665	32	20.1933	(1485, 234)	(149, 23)	49
18:10:07.699	32	20.1173	(1488, 235)	(149, 24)	49
18:10:07.734	33	20.0957	(1495, 235)	(150, 24)	49
18:10:07.770	32	19.7154	(1506, 235)	(151, 24)	49
18:10:07.813	31	19.596	(1516, 235)	(152, 24)	49
18:10:07.852	31	19.5159	(1526, 236)	(153, 24)	49
18:10:07.887	35	19.5175	(1535, 236)	(154, 24)	49
18:10:07.930	36	19.3489	(1546, 236)	(155, 24)	49
18:10:07.971	37	19.345	(1556, 237)	(156, 24)	49
18:10:08.013	36	19.1585	(1565, 237)	(157, 24)	49
18:10:08.054	31	19.2036	(1575, 238)	(158, 24)	49
18:10:08.089	32	19.1966	(1585, 238)	(159, 24)	49
18:10:08.124	31	19.0593	(1595, 239)	(160, 24)	49
18:10:08.159	33	18.9607	(1605, 239)	(161, 24)	49
18:10:08.201	35	18.9175	(1615, 240)	(162, 24)	49
18:10:08.243	33	18.9056	(1625, 240)	(163, 24)	49
18:10:08.283	30	18.701	(1636, 241)	(164, 24)	49
18:10:08.318	35	18.4911	(1645, 242)	(165, 24)	49
18:10:08.361	39	18.6003	(1655, 242)	(166, 24)	49
18:10:08.410	38	18.4579	(1666, 243)	(167, 24)	49
18:10:08.462	31	18.4376	(1676, 244)	(168, 24)	49
18:10:08.499	27	18.6661	(1677, 245)	(168, 25)	49
18:10:08.533	34	18.5917	(1686, 245)	(169, 25)	49
18:10:08.577	37	18.4921	(1696, 246)	(170, 25)	49
18:10:08.618	37	18.576	(1705, 246)	(171, 25)	49
18:10:08.662	34	18.5584	(1715, 248)	(172, 25)	49
