BOM
Frame extends: 2263, 1306
_ms_area: 10
measurements taken: 585
current rendering method: 1
is mouse replay: 1
Camera settings: Roation Quaternion: ( 0.260744, -0.551627, -0.0525365, 0.790532), Translationsvektor: ( -0.0583296, 0.0137825, 1.51).
System_Time	Elapsed_Time_PaintGL	Elapsed_Kernel_Time	Frame_Coordinates	Grid_Position	Manual_Measurement
18:55:44.041	30	10.1308	(318, 226)	(32, 23)	49
18:55:44.077	26	10.1791	(325, 225)	(33, 23)	49
18:55:44.104	25	10.349	(335, 225)	(34, 23)	49
18:55:44.132	24	10.5639	(345, 225)	(35, 23)	49
18:55:44.160	26	10.9081	(357, 225)	(36, 23)	49
18:55:44.188	27	11.2616	(372, 225)	(37, 23)	49
18:55:44.223	26	11.3679	(375, 225)	(38, 23)	49
18:55:44.257	27	11.6201	(385, 225)	(39, 23)	49
18:55:44.292	25	11.808	(395, 225)	(40, 23)	49
18:55:44.320	25	11.924	(405, 225)	(41, 23)	49
18:55:44.347	28	12.1053	(415, 225)	(42, 23)	49
18:55:44.383	33	12.2243	(425, 225)	(43, 23)	49
18:55:44.418	32	12.4535	(435, 226)	(44, 23)	49
18:55:44.453	32	12.7319	(445, 226)	(45, 23)	49
18:55:44.495	30	12.8293	(455, 226)	(46, 23)	49
18:55:44.528	31	13.0716	(465, 227)	(47, 23)	49
18:55:44.564	33	13.2387	(475, 227)	(48, 23)	49
18:55:44.605	34	13.459	(485, 228)	(49, 23)	49
18:55:44.648	33	13.6692	(495, 228)	(50, 23)	49
18:55:44.689	34	13.848	(505, 229)	(51, 23)	49
18:55:44.731	34	13.8767	(515, 229)	(52, 23)	49
18:55:44.773	33	13.9938	(525, 229)	(53, 23)	49
18:55:44.816	33	14.0822	(535, 229)	(54, 23)	49
18:55:44.856	33	14.1329	(545, 229)	(55, 23)	49
18:55:44.898	32	14.2468	(555, 229)	(56, 23)	49
18:55:44.932	29	14.4028	(565, 229)	(57, 23)	49
18:55:44.967	32	14.583	(575, 229)	(58, 23)	49
18:55:45.002	34	14.5724	(585, 229)	(59, 23)	49
18:55:45.044	34	14.6819	(596, 229)	(60, 23)	49
18:55:45.085	35	14.8447	(605, 230)	(61, 23)	49
18:55:45.127	32	14.8914	(615, 230)	(62, 23)	49
18:55:45.161	35	15.0704	(626, 230)	(63, 23)	49
18:55:45.204	38	15.0599	(635, 230)	(64, 23)	49
18:55:45.245	31	15.1296	(645, 230)	(65, 23)	49
18:55:45.281	40	15.2092	(655, 230)	(66, 23)	49
18:55:45.331	30	15.2963	(665, 230)	(67, 23)	49
18:55:45.370	47	15.4056	(680, 230)	(68, 23)	49
18:55:45.426	36	15.4087	(685, 230)	(69, 23)	49
18:55:45.468	35	15.4532	(695, 230)	(70, 23)	49
18:55:45.509	35	15.4246	(705, 230)	(71, 23)	49
18:55:45.550	29	15.5096	(715, 230)	(72, 23)	49
18:55:45.585	29	15.5516	(725, 230)	(73, 23)	49
18:55:45.619	35	15.5249	(735, 230)	(74, 23)	49
18:55:45.663	36	15.5114	(749, 230)	(75, 23)	49
18:55:45.705	36	15.4837	(756, 230)	(76, 23)	49
18:55:45.746	31	15.5233	(766, 230)	(77, 23)	49
18:55:45.780	29	15.5267	(775, 230)	(78, 23)	49
18:55:45.815	29	15.4279	(785, 230)	(79, 23)	49
18:55:45.850	35	15.3837	(796, 229)	(80, 23)	49
18:55:45.893	38	15.3347	(805, 229)	(81, 23)	49
18:55:45.941	34	15.3357	(815, 229)	(82, 23)	49
18:55:45.982	31	15.4132	(825, 228)	(83, 23)	49
18:55:46.017	33	15.2834	(835, 228)	(84, 23)	49
18:55:46.052	33	15.6071	(845, 228)	(85, 23)	49
18:55:46.093	40	15.2529	(855, 228)	(86, 23)	49
18:55:46.143	33	15.0975	(865, 228)	(87, 23)	49
18:55:46.183	33	15.0921	(875, 228)	(88, 23)	49
18:55:46.225	35	14.9458	(885, 228)	(89, 23)	49
18:55:46.267	35	14.9142	(895, 228)	(90, 23)	49
18:55:46.309	35	14.8699	(905, 228)	(91, 23)	49
18:55:46.351	34	14.7877	(915, 228)	(92, 23)	49
18:55:46.392	34	14.7862	(925, 228)	(93, 23)	49
18:55:46.434	35	14.688	(935, 228)	(94, 23)	49
18:55:46.476	33	14.6247	(945, 227)	(95, 23)	49
18:55:46.517	34	14.4656	(957, 227)	(96, 23)	49
18:55:46.559	34	14.3858	(966, 227)	(97, 23)	49
18:55:46.601	34	14.3203	(975, 227)	(98, 23)	49
18:55:46.643	34	14.6323	(985, 227)	(99, 23)	49
18:55:46.686	39	14.0507	(995, 227)	(100, 23)	49
18:55:46.734	41	14.0012	(1005, 227)	(101, 23)	49
18:55:46.785	34	14.0098	(1015, 226)	(102, 23)	49
18:55:46.823	29	14.1141	(1025, 226)	(103, 23)	49
18:55:46.858	29	13.9124	(1035, 226)	(104, 23)	49
18:55:46.893	30	13.8197	(1045, 225)	(105, 23)	49
18:55:46.927	30	13.7276	(1055, 225)	(106, 23)	49
18:55:46.962	31	13.5935	(1065, 225)	(107, 23)	49
18:55:46.997	30	13.6028	(1071, 224)	(107, 22)	49
18:55:47.031	30	13.5664	(1075, 224)	(108, 22)	49
18:55:47.066	31	14.0015	(1085, 224)	(109, 22)	49
18:55:47.102	30	13.4492	(1095, 224)	(110, 22)	49
18:55:47.136	29	13.4393	(1105, 224)	(111, 22)	49
18:55:47.171	30	13.2606	(1115, 224)	(112, 22)	49
18:55:47.205	27	13.2304	(1125, 224)	(113, 22)	49
18:55:47.240	27	13.1148	(1135, 224)	(114, 22)	49
18:55:47.274	28	12.9987	(1146, 223)	(115, 22)	49
18:55:47.309	27	12.9378	(1155, 223)	(116, 22)	49
18:55:47.337	28	12.8936	(1165, 223)	(117, 22)	49
18:55:47.372	28	12.8274	(1175, 223)	(118, 22)	49
18:55:47.407	27	12.8187	(1185, 223)	(119, 22)	49
18:55:47.441	26	12.7603	(1195, 223)	(120, 22)	49
18:55:47.469	26	12.7372	(1205, 223)	(121, 22)	49
18:55:47.497	26	12.7071	(1215, 223)	(122, 22)	49
18:55:47.524	27	12.7016	(1225, 223)	(123, 22)	49
18:55:47.560	32	12.615	(1235, 223)	(124, 22)	49
18:55:47.595	33	12.5784	(1245, 223)	(125, 22)	49
18:55:47.637	28	12.4603	(1255, 223)	(126, 22)	49
18:55:47.671	32	12.3658	(1265, 224)	(127, 22)	49
18:55:47.706	31	12.3324	(1275, 224)	(128, 22)	49
18:55:47.741	31	12.5596	(1282, 225)	(128, 23)	49
18:55:47.776	29	12.1487	(1285, 225)	(129, 23)	49
18:55:47.810	26	12.0861	(1295, 226)	(130, 23)	49
18:55:47.845	27	11.9397	(1305, 226)	(131, 23)	49
18:55:47.879	27	11.908	(1316, 228)	(132, 23)	49
18:55:47.914	28	11.8104	(1326, 228)	(133, 23)	49
18:55:47.949	26	11.7871	(1335, 228)	(134, 23)	49
18:55:47.977	26	11.7627	(1345, 229)	(135, 23)	49
18:55:48.005	26	11.8052	(1355, 230)	(136, 23)	49
18:55:48.033	26	11.8465	(1366, 230)	(137, 23)	49
18:55:48.067	27	11.9324	(1375, 230)	(138, 23)	49
18:55:48.103	33	12.0495	(1386, 231)	(139, 23)	49
18:55:48.144	33	12.217	(1395, 231)	(140, 23)	49
18:55:48.186	33	12.4207	(1405, 232)	(141, 23)	49
18:55:48.227	36	12.5698	(1415, 232)	(142, 23)	49
18:55:48.270	34	12.8441	(1425, 232)	(143, 23)	49
18:55:48.311	27	13.0532	(1435, 233)	(144, 23)	49
18:55:48.345	33	13.1862	(1445, 234)	(145, 23)	49
18:55:48.381	35	13.3378	(1455, 234)	(146, 23)	49
18:55:48.422	35	13.456	(1465, 234)	(147, 23)	49
18:55:48.464	30	13.6167	(1478, 234)	(148, 23)	49
18:55:48.498	28	13.7652	(1485, 234)	(149, 23)	49
18:55:48.532	29	13.779	(1488, 235)	(149, 24)	49
18:55:48.567	30	13.8353	(1495, 235)	(150, 24)	49
18:55:48.602	30	13.9087	(1506, 235)	(151, 24)	49
18:55:48.639	42	13.9154	(1516, 235)	(152, 24)	49
18:55:48.687	34	14.0262	(1526, 236)	(153, 24)	49
18:55:48.727	29	14.1628	(1535, 236)	(154, 24)	49
18:55:48.762	34	14.211	(1546, 236)	(155, 24)	49
18:55:48.805	37	14.2575	(1556, 237)	(156, 24)	49
18:55:48.846	31	14.3073	(1565, 237)	(157, 24)	49
18:55:48.881	29	14.4436	(1575, 238)	(158, 24)	49
18:55:48.922	29	14.5397	(1585, 238)	(159, 24)	49
18:55:48.957	28	14.6468	(1595, 239)	(160, 24)	49
18:55:48.991	30	14.7267	(1605, 239)	(161, 24)	49
18:55:49.026	30	14.8961	(1615, 240)	(162, 24)	49
18:55:49.062	34	14.9821	(1625, 240)	(163, 24)	49
18:55:49.103	33	15.1684	(1636, 241)	(164, 24)	49
18:55:49.137	32	15.2244	(1645, 242)	(165, 24)	49
18:55:49.173	31	15.3338	(1655, 242)	(166, 24)	49
18:55:49.207	31	15.3864	(1666, 243)	(167, 24)	49
18:55:49.242	37	15.4047	(1676, 244)	(168, 24)	49
18:55:49.286	38	15.4114	(1677, 245)	(168, 25)	49
18:55:49.332	32	15.5267	(1686, 245)	(169, 25)	49
18:55:49.367	32	15.5585	(1696, 246)	(170, 25)	49
18:55:49.402	33	15.5129	(1705, 246)	(171, 25)	49
18:55:49.437	32	15.4213	(1715, 248)	(172, 25)	49
18:55:49.473	41	15.3907	(1726, 249)	(173, 25)	49
18:55:49.524	37	15.3173	(1735, 250)	(174, 25)	49
